station,valid, tmpc ,  relh ,  drct ,  sknt ,  mslp ,  p01m ,  vsby ,  skyc1 ,  skyc2 ,  skyc3 ,  skyl1 ,  skyl2 ,  skyl3 ,  presentwx
VTPO,2011-08-22 22:00,27.00,78.76,230.00,6.00,M,M,6.21,FEW,SCT,   ,2200.00,30000.00,M,M
VTPO,2011-08-22 23:00,27.00,78.76,230.00,4.00,M,M,6.21,SCT,SCT,BKN,2200.00,12000.00,30000.00,M
VTPO,2011-08-23 00:00,M,M,0.00,M,M,M,M,   ,   ,   ,M,M,M,M
VTPO,2011-08-23 01:00,28.00,74.28,240.00,4.00,M,M,6.21,FEW,SCT,   ,2200.00,12000.00,M,M
VTPO,2011-08-23 02:00,M,M,0.00,M,M,M,M,   ,   ,   ,M,M,M,M
VTPO,2011-08-23 03:00,30.00,66.15,240.00,3.00,M,M,6.21,FEW,   ,   ,2200.00,M,M,M
VTPO,2011-08-23 04:00,M,M,0.00,M,M,M,M,   ,   ,   ,M,M,M,M
VTPO,2011-08-23 05:00,M,M,0.00,M,M,M,M,   ,   ,   ,M,M,M,M
VTPO,2011-08-23 06:00,33.00,55.77,280.00,2.00,M,M,6.21,SCT,   ,   ,2200.00,M,M,M
VTPO,2011-08-23 07:00,M,M,0.00,M,M,M,M,   ,   ,   ,M,M,M,M
VTPO,2011-08-23 08:00,33.00,59.24,270.00,4.00,M,M,6.21,SCT,   ,   ,2200.00,M,M,M
VTPO,2011-08-23 09:00,34.00,52.73,210.00,6.00,M,M,6.21,FEW,   ,   ,2200.00,M,M,M
VTPO,2011-08-23 10:00,33.00,55.77,220.00,8.00,M,M,6.21,FEW,   ,   ,2200.00,M,M,M
VTPO,2011-08-23 11:00,M,M,0.00,M,M,M,M,   ,   ,   ,M,M,M,M
VTPO,2011-08-23 12:00,M,M,0.00,M,M,M,M,   ,   ,   ,M,M,M,M
VTPO,2011-08-23 13:00,M,M,0.00,M,M,M,M,   ,   ,   ,M,M,M,M
VTPO,2011-08-23 22:00,26.00,78.62,230.00,6.00,M,M,6.21,FEW,   ,   ,2200.00,M,M,M
VTPO,2011-08-23 23:00,M,M,0.00,M,M,M,M,   ,   ,   ,M,M,M,M
VTPO,2011-08-24 00:00,M,M,0.00,M,M,M,M,   ,   ,   ,M,M,M,M
VTPO,2011-08-24 01:00,28.00,74.28,210.00,6.00,M,M,6.21,FEW,SCT,   ,2200.00,30000.00,M,M
VTPO,2011-08-24 02:00,M,M,0.00,M,M,M,M,   ,   ,   ,M,M,M,M
VTPO,2011-08-24 03:00,30.00,66.15,260.00,5.00,M,M,6.21,FEW,SCT,   ,2200.00,30000.00,M,M
VTPO,2011-08-24 04:00,31.00,66.35,270.00,4.00,M,M,6.21,FEW,SCT,   ,2200.00,30000.00,M,M
VTPO,2011-08-24 05:00,M,M,0.00,M,M,M,M,   ,   ,   ,M,M,M,M
VTPO,2011-08-24 06:00,M,M,0.00,M,M,M,M,   ,   ,   ,M,M,M,M
VTPO,2011-08-24 07:00,34.00,56.01,350.00,4.00,M,M,6.21,SCT,BKN,   ,2200.00,30000.00,M,M
VTPO,2011-08-24 08:00,M,M,0.00,M,M,M,M,   ,   ,   ,M,M,M,M
VTPO,2011-08-24 09:00,33.00,59.24,260.00,2.00,M,M,6.21,SCT,BKN,   ,2200.00,30000.00,M,M
VTPO,2011-08-24 10:00,32.00,62.68,270.00,3.00,M,M,6.21,SCT,BKN,   ,2200.00,30000.00,M,M
VTPO,2011-08-24 11:00,M,M,0.00,M,M,M,M,   ,   ,   ,M,M,M,M
